DriverID Race Place
83 1 1
18 1 2
20 1 3
48 1 4
53 1 5
51 1 6
67 1 7
72 1 8
32 1 9
42 1 10
2 1 11
31 1 12
62 1 13
13 1 14
37 1 15
6 1 16
60 1 17
66 1 18
33 1 19
77 1 20
56 1 21
63 1 22
55 1 23
70 1 24
14 1 25
43 1 26
71 1 27
35 1 28
12 1 29
44 1 30
79 1 31
3 1 32
52 1 33
4 1 34
9 1 35
45 1 36
41 1 37
61 1 38
34 1 39
39 1 40
49 1 41
15 1 42
82 1 43
52 2 1
72 2 2
4 2 3
82 2 4
60 2 5
31 2 6
32 2 7
66 2 8
3 2 9
44 2 10
2 2 11
48 2 12
83 2 13
67 2 14
41 2 15
77 2 16
33 2 17
61 2 18
45 2 19
38 2 20
51 2 21
14 2 22
42 2 23
62 2 24
35 2 25
12 2 26
25 2 27
37 2 28
34 2 29
6 2 30
18 2 31
79 2 32
39 2 33
59 2 34
43 2 35
55 2 36
49 2 37
56 2 38
9 2 39
53 2 40
7 2 41
13 2 42
71 2 43
72 3 1
34 3 2
51 3 3
67 3 4
82 3 5
37 3 6
13 3 7
2 3 8
31 3 9
38 3 10
66 3 11
4 3 12
61 3 13
52 3 14
35 3 15
12 3 16
32 3 17
14 3 18
39 3 19
48 3 20
83 3 21
53 3 22
7 3 23
25 3 24
45 3 25
43 3 26
44 3 27
18 3 28
79 3 29
49 3 30
60 3 31
42 3 32
33 3 33
55 3 34
6 3 35
41 3 36
62 3 37
77 3 38
71 3 39
59 3 40
9 3 41
70 3 42
3 3 43
82 4 1
12 4 2
37 4 3
52 4 4
60 4 5
66 4 6
83 4 7
51 4 8
72 4 9
67 4 10
48 4 11
7 4 12
13 4 13
77 4 14
49 4 15
32 4 16
14 4 17
62 4 18
18 4 19
61 4 20
31 4 21
44 4 22
34 4 23
43 4 24
39 4 25
38 4 26
42 4 27
55 4 28
3 4 29
35 4 30
71 4 31
9 4 32
59 4 33
70 4 34
2 4 35
41 4 36
4 4 37
6 4 38
45 4 39
53 4 40
33 4 41
17 4 42
25 4 43
72 5 1
18 5 2
45 5 3
12 5 4
67 5 5
37 5 6
66 5 7
52 5 8
32 5 9
2 5 10
31 5 11
61 5 12
3 5 13
49 5 14
53 5 15
34 5 16
39 5 17
35 5 18
7 5 19
